Date,open,high,low,close
15/08/2013,$73.14,$73.69,$72.77,$73.38
16/08/2013,$72.83,$73.29,$72.62,$72.92
19/08/2013,$70.51,$71.19,$70.48,$70.78
20/08/2013,$70.35,$70.85,$69.76,$69.90
21/08/2013,$70.23,$70.87,$70.10,$70.73
22/08/2013,$69.79,$70.89,$69.79,$70.89
23/08/2013,$71.14,$71.74,$70.93,$71.68
26/08/2013,$71.73,$72.31,$71.68,$72.20
27/08/2013,$72.52,$73.22,$72.27,$73.09
28/08/2013,$72.29,$72.62,$71.78,$71.87
29/08/2013,$71.87,$72.12,$71.14,$71.68
30/08/2013,$71.64,$72.46,$71.51,$72.46
2/09/2013,$72.76,$73.30,$72.52,$73.30
3/09/2013,$73.49,$73.54,$72.72,$73.17
4/09/2013,$72.90,$73.14,$72.47,$72.90
5/09/2013,$73.30,$73.30,$72.02,$72.54
6/09/2013,$73.00,$73.01,$72.27,$72.78
9/09/2013,$73.12,$73.28,$72.64,$73.25
10/09/2013,$73.32,$73.81,$73.27,$73.52
11/09/2013,$73.86,$74.06,$73.53,$73.75
12/09/2013,$73.81,$73.96,$73.44,$73.60
13/09/2013,$73.59,$73.60,$73.08,$73.44
16/09/2013,$73.86,$73.90,$73.46,$73.66
17/09/2013,$73.22,$73.41,$72.86,$73.22
18/09/2013,$73.21,$73.62,$73.13,$73.60
19/09/2013,$74.21,$74.21,$73.22,$73.42
20/09/2013,$73.51,$73.66,$73.12,$73.37
23/09/2013,$73.11,$73.29,$72.92,$73.13
24/09/2013,$72.92,$72.92,$72.36,$72.52
25/09/2013,$72.15,$72.84,$72.07,$72.46
26/09/2013,$72.23,$72.94,$72.22,$72.83
27/09/2013,$73.12,$73.26,$72.65,$72.78
30/09/2013,$72.32,$72.37,$70.84,$70.84
1/10/2013,$70.94,$71.65,$70.90,$70.98
2/10/2013,$71.57,$71.76,$71.15,$71.30
3/10/2013,$71.28,$71.94,$71.16,$71.33
4/10/2013,$70.79,$71.48,$70.78,$71.39
7/10/2013,$71.23,$71.26,$70.06,$70.38
8/10/2013,$70.08,$70.97,$69.99,$70.73
9/10/2013,$70.53,$70.96,$70.39,$70.65
10/10/2013,$70.66,$70.73,$70.28,$70.43
11/10/2013,$71.23,$71.94,$71.20,$71.94
14/10/2013,$71.70,$72.14,$71.51,$72.14
15/10/2013,$72.62,$73.03,$72.47,$72.63
16/10/2013,$72.39,$72.62,$72.17,$72.38
17/10/2013,$72.57,$73.11,$72.53,$73.05
18/10/2013,$73.32,$73.81,$73.11,$73.78
21/10/2013,$74.02,$74.36,$74.00,$74.16
22/10/2013,$74.17,$74.51,$74.11,$74.37
23/10/2013,$74.60,$74.60,$74.12,$74.22
24/10/2013,$74.41,$75.33,$74.34,$75.19
25/10/2013,$75.52,$75.96,$75.32,$75.88
28/10/2013,$76.40,$77.05,$76.32,$77.00
29/10/2013,$77.10,$77.10,$76.08,$76.39
30/10/2013,$76.55,$76.90,$76.17,$76.61
31/10/2013,$75.76,$76.08,$75.29,$75.68
1/11/2013,$75.11,$75.79,$75.11,$75.41
4/11/2013,$75.53,$76.17,$75.50,$75.70
5/11/2013,$76.08,$76.63,$75.88,$76.60
6/11/2013,$76.80,$77.99,$76.70,$77.55
7/11/2013,$77.77,$78.91,$77.77,$78.91
8/11/2013,$78.26,$79.46,$78.20,$78.69
11/11/2013,$78.84,$78.99,$77.41,$77.94
12/11/2013,$78.22,$78.31,$77.44,$77.68
13/11/2013,$77.51,$77.67,$75.65,$75.91
14/11/2013,$75.91,$77.25,$75.87,$76.80
15/11/2013,$76.95,$77.79,$76.22,$77.39
18/11/2013,$76.88,$77.32,$76.62,$76.94
19/11/2013,$76.40,$77.13,$76.15,$76.80
20/11/2013,$76.36,$76.89,$75.93,$76.32
21/11/2013,$75.62,$76.28,$75.51,$75.70
22/11/2013,$76.31,$76.68,$75.94,$76.09
25/11/2013,$76.52,$76.72,$75.85,$75.87
